drive_id,drive_start,drive_end
2016_01_GB_JAX_14,Kickoff,Field Goal
2016_01_GB_JAX_15,Kickoff,Field Goal
2016_01_GB_JAX_16,Kickoff,Field Goal
2016_01_GB_JAX_17,Kickoff,Field Goal
2016_01_GB_JAX_18,Kickoff,Punt
2016_01_GB_JAX_19,Punt,Turnover
2016_01_LA_SF_1,Kickoff,Punt
2016_01_LA_SF_2,Punt,Punt
2016_01_LA_SF_3,Punt,Punt
2016_01_LA_SF_4,Punt,Touchdown
2016_01_LA_SF_5,Kickoff,Punt
2016_01_LA_SF_6,Punt,Turnover
2016_01_LA_SF_7,Fumble,Turnover
2016_01_LA_SF_8,Interception,Touchdown
2016_01_LA_SF_9,Kickoff,Punt
2016_01_LA_SF_10,Punt,Turnover
2016_01_LA_SF_11,Fumble,Punt
2016_01_LA_SF_12,Punt,Punt
2016_01_LA_SF_13,Punt,Punt
2016_01_LA_SF_15,Kickoff,Punt
2016_01_LA_SF_16,Punt,Punt
2016_01_LA_SF_17,Punt,Punt
2016_01_LA_SF_18,Punt,Punt
2016_01_LA_SF_19,Punt,Punt
2016_01_LA_SF_20,Punt,Punt
2016_01_LA_SF_21,Punt,Punt
2016_01_LA_SF_22,Punt,Turnover
2016_01_LA_SF_23,Interception,Touchdown
2016_01_LA_SF_24,Kickoff,Punt
2016_01_LA_SF_25,Punt,Touchdown
2016_01_LA_SF_26,Kickoff,Turnover
2016_01_LA_SF_27,Fumble,Punt
2016_01_MIA_SEA_1,Kickoff,Punt
2016_01_MIA_SEA_2,Punt,Punt
2016_01_MIA_SEA_3,Punt,Field Goal
2016_01_MIA_SEA_4,Kickoff,Turnover
2016_01_MIA_SEA_5,Fumble,Punt
2016_01_MIA_SEA_6,Punt,Punt
2016_01_MIA_SEA_7,Punt,Turnover
2016_01_MIA_SEA_8,Interception,Field Goal
2016_01_MIA_SEA_9,Kickoff,Punt
2016_01_MIA_SEA_10,Punt,Punt
2016_01_MIA_SEA_11,Punt,Punt
2016_01_MIA_SEA_12,Punt,Punt
2016_01_MIA_SEA_13,Punt,Field Goal
2016_01_MIA_SEA_14,Kickoff,Punt
2016_01_MIA_SEA_15,Punt,Punt
2016_01_MIA_SEA_16,Punt,Punt
2016_01_MIA_SEA_17,Punt,Turnover
2016_01_MIA_SEA_18,Fumble,Punt
2016_01_MIA_SEA_19,Punt,Turnover
2016_01_MIA_SEA_20,Fumble,Field Goal
2016_01_MIA_SEA_22,Punt,Touchdown
2016_01_MIA_SEA_23,Kickoff,Touchdown
2016_01_MIN_TEN_1,Kickoff,Punt
2016_01_MIN_TEN_2,Punt,Punt
2016_01_MIN_TEN_3,Punt,Field Goal
2016_01_MIN_TEN_4,Kickoff,Field Goal
2016_01_MIN_TEN_6,Punt,Punt
2016_01_MIN_TEN_7,Punt,Touchdown
2016_01_MIN_TEN_8,Kickoff,Field Goal
2016_01_MIN_TEN_9,Kickoff,Field Goal
2016_01_MIN_TEN_10,Kickoff,Punt
2016_01_MIN_TEN_11,Punt,Field Goal
2016_01_MIN_TEN_13,Kickoff,Punt
2016_01_MIN_TEN_14,Punt,Field Goal
2016_01_MIN_TEN_16,Kickoff,Turnover
2016_01_MIN_TEN_17,Fumble,Punt
2016_01_MIN_TEN_18,Punt,Punt
2016_01_MIN_TEN_19,Punt,Field Goal
2016_01_MIN_TEN_20,Kickoff,Touchdown
2016_01_NE_ARI_1,Kickoff,Punt
2016_01_NE_ARI_2,Punt,Touchdown
2016_01_NE_ARI_3,Kickoff,Punt
2016_01_NE_ARI_4,Punt,Field Goal
2016_01_NE_ARI_5,Kickoff,Punt
2016_01_NE_ARI_6,Punt,Turnover
2016_01_NE_ARI_7,Fumble,Touchdown
2016_01_NE_ARI_8,Kickoff,Punt
2016_01_NE_ARI_9,Punt,Punt
2016_01_NE_ARI_10,Punt,Punt
2016_01_NE_ARI_12,Kickoff,Touchdown
2016_01_NE_ARI_13,Kickoff,Punt
2016_01_NE_ARI_14,Punt,Turnover
2016_01_NE_ARI_15,Fumble,Touchdown
2016_01_NE_ARI_16,Kickoff,Field Goal
2016_01_NE_ARI_17,Kickoff,Touchdown
2016_01_NE_ARI_18,Kickoff,Field Goal
2016_01_NE_ARI_19,Kickoff,Field Goal
2016_01_NYG_DAL_1,Kickoff,Field Goal
2016_01_NYG_DAL_2,Kickoff,Punt
2016_01_NYG_DAL_3,Punt,Field Goal
2016_01_NYG_DAL_4,Kickoff,Touchdown
2016_01_NYG_DAL_5,Kickoff,Field Goal
2016_01_NYG_DAL_6,Kickoff,Touchdown
2016_01_NYG_DAL_8,Kickoff,Turnover
2016_01_NYG_DAL_9,Interception,Touchdown
2016_01_NYG_DAL_10,Kickoff,Punt
2016_01_NYG_DAL_11,Punt,Punt
2016_01_NYG_DAL_12,Punt,Punt
2016_01_NYG_DAL_13,Punt,Field Goal
2016_01_NYG_DAL_14,Kickoff,Punt
2016_01_NYG_DAL_15,Punt,Punt
